                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4902,                 2.8998,                   1.51,                0.04939,                0.13291,                0.02355,                0.01257,                 1.4052,                 3.8329,                 1.4155,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.3718,                 2.0521,                  1.442,                 0.8889,                0.86082,                0.91953,                0.62457,                  1.145,                 1.0099,                 1.1819,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.0823,                0.70734,                 1.1775,                 0.9144,                0.94654,                0.97292,                0.64278,                 1.2076,                0.97313,                 1.2516,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.0132,                0.62647,                  1.125,                0.90838,                0.89873,                 0.9225,                0.58763,                 1.2628,                  1.398,                 1.3767,             0.00029109,             0.00029109,             0.00029109
                      5,                0.96621,                0.61495,                  1.102,                0.92506,                0.85937,                0.90617,                 0.5843,                 1.2001,                 1.4268,                 1.3378,             0.00036495,             0.00036495,             0.00036495
                      6,                0.95301,                0.58161,                 1.1244,                0.94976,                0.85443,                0.88872,                0.58216,                 1.1777,                 1.0898,                 1.3737,             0.00043723,             0.00043723,             0.00043723
                      7,                0.93716,                0.56705,                 1.1017,                0.95614,                0.86076,                0.90236,                0.56131,                 1.2612,                 1.1803,                 1.4166,             0.00050792,             0.00050792,             0.00050792
                      8,                0.92616,                0.54992,                  1.083,                0.95494,                0.91772,                0.95702,                0.62552,                 1.1917,                0.92082,                 1.2707,             0.00057703,             0.00057703,             0.00057703
                      9,                0.89155,                0.52936,                 1.0815,                0.92636,                0.87975,                0.94239,                0.63327,                 1.1758,                  1.124,                 1.2625,             0.00064456,             0.00064456,             0.00064456
                     10,                0.91582,                0.57232,                 1.1003,                0.89033,                0.85443,                0.92101,                0.58242,                 1.2785,                 1.3484,                 1.3897,              0.0007105,              0.0007105,              0.0007105
                     11,                0.91891,                0.55076,                 1.1176,                0.90537,                0.78719,                0.87504,                0.54935,                 1.2995,                0.99162,                 1.4413,             0.00077486,             0.00077486,             0.00077486
                     12,                0.94074,                0.54312,                 1.0897,                0.89502,                0.84177,                0.87967,                 0.5363,                 1.3383,                 1.5356,                 1.5125,             0.00083763,             0.00083763,             0.00083763
